mfcc_mean,mel_mean,chroma_mean,zcr_mean,rms_mean,f0_mean,label,file_path
-5.716207981109619,-46.43756866455078,0.2035430520772934,0.06715266719745223,0.22376833856105804,56.24116451525609,music,C:\Users\TLam\Documents\project\data\processed\music\music_000.wav
-6.952181816101074,-54.01140594482422,0.16468986868858337,0.033050731488853506,0.17533186078071594,56.84042156428658,music,C:\Users\TLam\Documents\project\data\processed\music\music_001.wav
-5.78854513168335,-54.27853012084961,0.08209183067083359,0.058603080214968156,0.17017222940921783,102.87739037408042,music,C:\Users\TLam\Documents\project\data\processed\music\music_002.wav
-7.6410298347473145,-54.51726531982422,0.19414259493350983,0.04219434215764331,0.16522929072380066,40.64441279916592,music,C:\Users\TLam\Documents\project\data\processed\music\music_003.wav
-6.018123626708984,-52.53911209106445,0.12358033657073975,0.0958617386544586,0.21097414195537567,725.3718178931055,music,C:\Users\TLam\Documents\project\data\processed\music\music_004.wav
-4.574774265289307,-48.612884521484375,0.17823846638202667,0.04175893212579618,0.20758210122585297,153.37457787207484,music,C:\Users\TLam\Documents\project\data\processed\music\music_005.wav
-5.330684185028076,-46.42974853515625,0.23906491696834564,0.054373382762738856,0.2222880721092224,126.05333891562901,music,C:\Users\TLam\Documents\project\data\processed\music\music_006.wav
-4.51121187210083,-41.968807220458984,0.18780206143856049,0.09375311007165606,0.2083386480808258,128.46959395068598,music,C:\Users\TLam\Documents\project\data\processed\music\music_007.wav
-5.1970319747924805,-50.49370193481445,0.13015052676200867,0.0421632414410828,0.21252106130123138,66.73150919101985,music,C:\Users\TLam\Documents\project\data\processed\music\music_008.wav
-7.682164192199707,-56.1490364074707,0.14811915159225464,0.053203995820063694,0.15665693581104279,61.88203813340604,music,C:\Users\TLam\Documents\project\data\processed\music\music_009.wav
-4.154348850250244,-46.127376556396484,0.15139281749725342,0.0733945810111465,0.2052987962961197,59.384783368410204,music,C:\Users\TLam\Documents\project\data\processed\music\music_010.wav
-2.2760932445526123,-41.16413879394531,0.17104902863502502,0.10478453423566879,0.28224819898605347,375.1524434784102,music,C:\Users\TLam\Documents\project\data\processed\music\music_011.wav
-6.598465919494629,-53.51729202270508,0.14985273778438568,0.05240781747611465,0.20249468088150024,49.670515535804434,music,C:\Users\TLam\Documents\project\data\processed\music\music_012.wav
-6.615481376647949,-54.5214729309082,0.17409038543701172,0.033828249402866245,0.19784316420555115,49.003927751022445,music,C:\Users\TLam\Documents\project\data\processed\music\music_013.wav
-3.1858971118927,-40.808738708496094,0.2234116792678833,0.08082765226910828,0.2760038375854492,81.44118525926734,music,C:\Users\TLam\Documents\project\data\processed\music\music_014.wav
-3.1491880416870117,-44.31640625,0.4717743396759033,0.2380853154856688,0.12426688522100449,42.00996194615218,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_000.wav
-7.117244243621826,-38.259368896484375,0.4650917053222656,0.2775832255175159,0.12616899609565735,26.710302385509536,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_001.wav
-9.59411907196045,-46.26691436767578,0.37550806999206543,0.2232844844745223,0.09349960833787918,14.698351747654797,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_002.wav
-4.492485523223877,-40.37440872192383,0.42067691683769226,0.2844284932324841,0.17452645301818848,78.9113154614052,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_003.wav
-7.790128231048584,-53.483367919921875,0.35984036326408386,0.21263248905254778,0.0907687395811081,8.363737018426809,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_004.wav
-8.751283645629883,-37.838809967041016,0.47268083691596985,0.28361054438694266,0.05843740701675415,6.757791977754333,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_005.wav
3.8959808349609375,-16.690195083618164,0.7847147583961487,0.45522740843949044,0.3327493965625763,66.55995272965306,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_006.wav
-2.5604372024536133,-18.51522445678711,0.6984876394271851,0.42240993232484075,0.10758019983768463,35.423646993264626,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_007.wav
-2.8452529907226562,-36.589534759521484,0.5867334008216858,0.3480325686703822,0.17072996497154236,14.338525099200584,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_008.wav
-0.3054145574569702,-24.813541412353516,0.5939279198646545,0.39855257265127386,0.2423797845840454,112.66084800852084,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_009.wav
-3.9342968463897705,-31.538583755493164,0.5412646532058716,0.332093451433121,0.21092839539051056,22.53713236704538,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_010.wav
-7.806731224060059,-45.494415283203125,0.3920212984085083,0.23006133061305734,0.17443811893463135,7.645283028866215,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_011.wav
-7.014208793640137,-50.612945556640625,0.32371896505355835,0.20759106289808918,0.13492640852928162,51.52676334949426,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_012.wav
-8.344237327575684,-44.85824966430664,0.3918831944465637,0.23578075238853502,0.13447099924087524,19.522685179677357,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_013.wav
-6.050139427185059,-38.25046157836914,0.4653818607330322,0.2797416152468153,0.18929266929626465,6.954955125548641,noise,C:\Users\TLam\Documents\project\data\processed\noise\noise_014.wav
-17.380678176879883,-41.57759475708008,0.43684759736061096,0.2630125398089172,0.0023261879105120897,4.576631233223208,silence,C:\Users\TLam\Documents\project\data\processed\silence\silence_000.wav
